date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:43	117805/117805	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:34:30%20GMT	http://demos.alithemes.com/html/newsboard/demo/index.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/index.html	(from )
12:32:43	441/441	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jul%202022%2009:32:43%20GMT	http://demos.alithemes.com/robots.txt		(from )
12:32:44	403/403	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jul%202020%2018:22:18%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/theme/favicon.png	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/theme/favicon.png	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:32:44	29099/29099	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2005:07:54%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/css/style.css	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/css/style.css	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:32:44	23060/23060	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jul%202020%2004:55:46%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/css/widgets.css	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/css/widgets.css	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:32:44	2980/2980	---M-Z	200	added ('OK')	text/css	date:Sat,%2018%20Jul%202020%2021:29:00%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/css/responsive.css	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/css/responsive.css	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:32:45	66014/66014	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:35:06%20GMT	http://demos.alithemes.com/html/newsboard/demo/single.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/single.html	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:10	148558/148558	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2015:07:20%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-4.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-4.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:11	175626/175626	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2015:06:32%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-1.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-1.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:12	63002/63002	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:34:04%20GMT	http://demos.alithemes.com/html/newsboard/demo/category.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/category.html	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:13	708/708	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2026%20Jul%202022%2009:33:13%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news-1.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news-1.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:26	254579/254579	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2015:06:46%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-2.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-2.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:27	41489/41489	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:31:54%20GMT	http://demos.alithemes.com/html/newsboard/demo/login.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/login.html	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:29	83633/83633	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:34:18%20GMT	http://demos.alithemes.com/html/newsboard/demo/home-2.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/home-2.html	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:29	118601/118601	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2015:07:34%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-5.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-5.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:32	129432/129432	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Jul%202020%2005:27:26%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/ads/ads-1.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/ads/ads-1.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:34	354756/354756	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Jul%202020%2015:07:04%20GMT	http://demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-3.jpg	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/assets/imgs/news/thumb-3.jpg	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
12:33:38	76463/76463	---MCZ	200	added ('OK')	text/html	date:Mon,%2020%20Jul%202020%2005:34:24%20GMT	http://demos.alithemes.com/html/newsboard/demo/home-3.html	C:/Benim%20Web%20Sitem/Blog/demos.alithemes.com/html/newsboard/demo/home-3.html	(from http://demos.alithemes.com/html/newsboard/demo/index.html)
